"indice_tiempo","valor"
"2015-02-01","376700"
"2015-03-01","429800"
"2015-04-01","383800"
"2015-05-01","410900"
"2015-06-01","444600"
"2015-07-01","431000"
"2015-08-01","473500"
"2015-09-01","446400"
"2015-10-01","468700"
"2015-11-01","404900"
"2015-12-01","371600"
"2016-01-01","329500"
"2016-02-01","338800"
"2016-03-01","317700"
"2016-04-01","319100"
"2016-05-01","379100"
"2016-06-01","372400"
"2016-07-01","356100"
"2016-08-01","343200"
"2016-09-01","322100"
"2016-10-01","376600"
"2016-11-01","359300"
"2016-12-01","312600"
"2017-01-01","291300"
"2017-02-01","305100"
"2017-03-01","392300"
"2017-04-01","367400"
"2017-05-01","394100"
"2017-06-01","372200"
"2017-07-01","398800"
"2017-08-01","417400"
"2017-09-01","422700"
"2017-10-01","447100"
"2017-11-01","435000"
"2017-12-01","380800"
"2018-01-01","343800"
"2018-02-01","417300"
"2018-03-01","473900"
"2018-04-01","463000"
"2018-05-01","438100"
"2018-06-01","413500"
"2018-07-01","463800"
"2018-08-01","455300"
"2018-09-01","434700"
"2018-10-01","446200"
"2018-11-01","456000"
"2018-12-01","356100"
"2019-01-01","370900"
"2019-02-01","318200"
"2019-03-01","390700"
"2019-04-01","420900"
"2019-05-01","406800"
"2019-06-01","411700"
