"indice_tiempo","acero_moldeado","laminados_largos","laminados_planos","rieles","tubos_con_costura","tubos_sin_costura"
"2015-10-01","0.0","16.0","26.4","0.0","0.3","51.0"
"2016-01-01","0.0","15.8","11.9","0.0","1.1","10.6"
"2016-04-01","0.0","25.1","40.8","0.0","2.2","37.7"
"2016-07-01","0.0","16.7","55.2","0.0","2.6","69.3"
"2016-10-01","0.0","17.9","60.6","0.0","3.8","66.0"
"2017-01-01","0.0","15.8","20.7","25.5","1.3","77.3"
"2017-04-01","0.0","18.5","24.5","7.4","1.4","96.1"
"2017-07-01","0.0","22.0","28.0","0.0","0.5","130.3"
"2017-10-01","0.0","14.9","25.9","0.0","0.9","136.4"
"2018-01-01","0.0","18.8","48.2","0.0","0.8","96.4"
"2018-04-01","0.0","58.2","42.0","6.8","0.3","107.1"
"2018-07-01","0.0","62.0","56.3","0.0","1.3","132.4"
"2018-10-01","0.0","62.7","37.1","1.4","7.8","95.9"
"2019-01-01","0.0","61.5","40.9","0.0","1.4","93.1"
"2019-04-01","0.0","71.2","74.4","0.0","1.4","87.9"
